id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage
8985,Male,36,1,8.0,1,< 1 Year,No,45808.01,69.0,270
337,Male,25,1,31.0,0,< 1 Year,No,45518.3,23.0,226
1570,Female,28,1,3.0,1,< 1 Year,No,57064.93,42.0,72
16961,Female,56,1,42.0,0,> 2 Years,No,44973.4,3.0,93
4872,Male,40,1,14.0,1,> 2 Years,No,40001.89,98.0,24
3721,Male,39,0,10.0,1,> 2 Years,Yes,57257.05,73.0,215
18364,Male,21,0,9.0,1,1-2 Year,No,24444.66,93.0,228
16762,Male,35,0,31.0,1,> 2 Years,No,59724.87,48.0,137
19907,Female,58,1,45.0,1,1-2 Year,Yes,30897.98,39.0,40
6882,Female,60,1,9.0,0,< 1 Year,Yes,20696.43,9.0,255
16341,Female,55,1,5.0,1,< 1 Year,No,61193.65,118.0,50
446,Male,47,1,36.0,1,1-2 Year,Yes,78140.44,126.0,140
5920,Male,29,1,46.0,1,< 1 Year,Yes,71797.18,61.0,45
18570,Male,26,1,21.0,0,> 2 Years,No,28434.56,12.0,34
7427,Male,68,1,27.0,1,1-2 Year,No,46142.71,69.0,45
15330,Female,60,1,45.0,1,< 1 Year,Yes,46303.82,147.0,113
4656,Male,60,1,50.0,1,< 1 Year,Yes,23659.46,157.0,220
13339,Female,30,0,5.0,0,< 1 Year,Yes,28589.85,22.0,120
2289,Male,69,1,23.0,1,< 1 Year,Yes,64218.04,114.0,174
16205,Female,21,1,52.0,1,1-2 Year,Yes,55202.8,70.0,253
12257,Female,22,1,12.0,0,< 1 Year,Yes,33760.32,102.0,202
18944,Female,38,0,20.0,0,< 1 Year,No,66899.12,11.0,49
7201,Female,69,1,46.0,0,< 1 Year,Yes,49851.49,100.0,223
2911,Female,39,0,0.0,1,< 1 Year,No,34414.29,102.0,161
10867,Female,53,1,21.0,1,1-2 Year,No,31714.82,117.0,176
1352,Female,21,1,42.0,0,1-2 Year,No,67396.21,42.0,227
19504,Female,37,0,18.0,0,> 2 Years,Yes,68736.65,93.0,54
14722,Female,62,1,11.0,1,< 1 Year,Yes,22142.07,46.0,149
7011,Male,31,1,24.0,0,1-2 Year,Yes,74168.63,30.0,5
12595,Male,32,1,16.0,0,1-2 Year,No,53987.48,152.0,237
8241,Female,42,1,19.0,1,< 1 Year,Yes,76273.81,121.0,191
11220,Male,52,1,33.0,0,1-2 Year,Yes,34095.43,24.0,65
1281,Female,20,1,36.0,1,1-2 Year,No,74346.83,78.0,294
12146,Male,41,1,3.0,1,1-2 Year,No,39184.23,31.0,277
13399,Female,42,1,39.0,0,< 1 Year,Yes,63133.1,145.0,143
15788,Male,40,1,7.0,1,1-2 Year,No,35024.76,99.0,144
1548,Male,26,1,8.0,1,> 2 Years,Yes,52849.98,137.0,70
16323,Female,41,1,14.0,1,1-2 Year,Yes,35207.84,108.0,299
11073,Male,60,0,4.0,1,> 2 Years,Yes,55501.23,158.0,6
280,Female,32,1,27.0,0,< 1 Year,No,67897.89,53.0,287
12354,Female,53,1,41.0,0,< 1 Year,No,45935.59,80.0,266
16184,Female,27,1,34.0,0,< 1 Year,No,71007.67,23.0,198
14670,Male,68,1,30.0,0,< 1 Year,No,24420.34,160.0,78
18855,Female,56,1,50.0,0,< 1 Year,Yes,71073.91,155.0,18
18605,Male,20,1,32.0,1,1-2 Year,Yes,78896.6,56.0,101
18043,Male,32,0,28.0,1,< 1 Year,No,37043.15,73.0,110
6187,Male,50,1,36.0,1,> 2 Years,No,56357.17,87.0,87
15787,Female,39,1,38.0,0,< 1 Year,No,50055.84,45.0,122
11568,Female,54,1,35.0,1,> 2 Years,No,49491.9,59.0,288
15234,Female,44,1,14.0,1,< 1 Year,No,46348.14,82.0,169
7076,Female,23,1,8.0,1,< 1 Year,No,79983.87,154.0,193
9249,Male,42,1,8.0,0,< 1 Year,Yes,66190.37,112.0,252
1663,Female,27,0,37.0,1,> 2 Years,No,51627.59,121.0,206
19989,Female,35,1,52.0,0,> 2 Years,No,57794.36,126.0,99
7780,Female,56,1,49.0,0,< 1 Year,Yes,24248.94,3.0,264
3443,Male,42,1,15.0,0,< 1 Year,No,20743.73,114.0,142
4420,Male,63,0,41.0,1,< 1 Year,No,30455.91,81.0,53
594,Female,47,1,5.0,1,> 2 Years,Yes,54724.79,112.0,203
1158,Male,51,0,46.0,1,< 1 Year,Yes,61053.38,89.0,231
15602,Male,43,1,39.0,0,> 2 Years,Yes,71209.22,156.0,72
17201,Female,41,1,12.0,0,< 1 Year,Yes,58537.18,148.0,81
16178,Female,67,1,18.0,0,< 1 Year,Yes,61938.1,8.0,15
12827,Male,46,1,51.0,1,1-2 Year,Yes,78357.29,124.0,18
8156,Female,27,1,36.0,0,1-2 Year,No,32263.83,16.0,41
1241,Male,63,1,39.0,0,> 2 Years,Yes,45071.4,94.0,183
10928,Male,19,1,28.0,0,> 2 Years,No,37290.01,47.0,88
13825,Male,36,1,26.0,0,> 2 Years,Yes,20890.95,116.0,255
10175,Female,20,1,15.0,1,> 2 Years,Yes,31873.72,2.0,94
6569,Male,22,1,27.0,0,< 1 Year,Yes,31468.52,120.0,29
12023,Male,19,1,30.0,0,1-2 Year,Yes,26140.39,118.0,19
13811,Male,20,1,30.0,1,> 2 Years,Yes,34087.54,48.0,263
15039,Male,48,1,27.0,1,1-2 Year,Yes,74230.14,99.0,129
13430,Male,38,1,17.0,1,1-2 Year,Yes,67483.06,112.0,197
18718,Female,38,0,30.0,1,1-2 Year,No,66617.3,127.0,234
4099,Female,64,0,32.0,1,> 2 Years,Yes,61534.07,131.0,80
9321,Male,25,1,21.0,0,> 2 Years,Yes,72394.55,136.0,299
19805,Male,53,1,44.0,1,< 1 Year,No,62996.89,14.0,80
17595,Male,24,1,36.0,0,> 2 Years,No,33029.97,98.0,171
14202,Female,24,1,30.0,1,< 1 Year,No,49917.26,3.0,157
10168,Female,30,0,31.0,1,< 1 Year,No,26516.02,79.0,211
9894,Female,68,1,7.0,1,1-2 Year,No,35524.37,12.0,207
4532,Female,67,1,43.0,1,1-2 Year,No,20122.48,160.0,53
10632,Female,35,1,6.0,0,> 2 Years,Yes,78673.03,25.0,159
3546,Male,35,1,35.0,1,< 1 Year,No,30350.99,35.0,69
14218,Male,52,1,2.0,1,< 1 Year,Yes,49353.67,35.0,123
2427,Male,34,1,47.0,1,> 2 Years,No,57371.57,134.0,269
6153,Male,47,0,15.0,1,< 1 Year,No,55961.0,34.0,54
17358,Male,52,1,46.0,1,> 2 Years,No,74713.11,13.0,35
2651,Female,48,1,7.0,0,< 1 Year,No,49071.77,21.0,187
17092,Female,65,1,49.0,1,< 1 Year,Yes,56466.42,60.0,215
19940,Female,46,1,33.0,1,1-2 Year,Yes,31698.88,57.0,249
3156,Male,59,1,19.0,1,1-2 Year,Yes,72092.36,98.0,128
16339,Male,29,1,40.0,1,> 2 Years,No,42879.53,86.0,293
18555,Female,37,0,51.0,1,> 2 Years,No,29119.9,155.0,85
3086,Male,30,1,30.0,1,1-2 Year,Yes,25231.41,26.0,115
18263,Male,38,1,40.0,1,1-2 Year,No,43484.55,141.0,234
14904,Female,19,1,18.0,1,< 1 Year,Yes,71021.47,112.0,264
16088,Male,63,1,12.0,1,< 1 Year,No,55686.65,44.0,20
16783,Female,32,1,6.0,0,> 2 Years,Yes,22545.13,31.0,2
2118,Female,57,0,3.0,0,< 1 Year,No,42173.71,99.0,104
8703,Male,24,1,32.0,1,< 1 Year,No,75940.99,156.0,142
18096,Female,46,1,24.0,1,< 1 Year,No,35269.53,86.0,53
1789,Male,66,1,29.0,1,< 1 Year,Yes,51367.1,36.0,32
8989,Female,27,1,45.0,1,1-2 Year,No,66552.4,13.0,141
8054,Male,47,1,43.0,1,1-2 Year,Yes,32916.82,33.0,55
219,Female,41,1,36.0,1,1-2 Year,No,51514.68,114.0,132
413,Female,58,1,45.0,0,> 2 Years,Yes,72416.45,36.0,222
1697,Male,30,1,16.0,1,> 2 Years,No,69854.77,91.0,196
16126,Male,27,1,52.0,1,1-2 Year,No,79465.85,90.0,54
11602,Male,37,1,39.0,0,1-2 Year,No,72766.7,6.0,124
15586,Female,35,1,34.0,1,1-2 Year,No,79836.29,44.0,145
15272,Male,55,1,44.0,0,1-2 Year,Yes,26295.59,90.0,62
16010,Male,52,1,42.0,1,1-2 Year,No,50313.68,10.0,72
13633,Female,61,1,4.0,0,< 1 Year,Yes,72027.66,127.0,119
19663,Male,61,1,12.0,1,> 2 Years,Yes,36870.0,49.0,101
3431,Male,27,1,22.0,0,1-2 Year,No,51645.37,121.0,116
3146,Female,29,1,51.0,0,1-2 Year,Yes,40248.91,2.0,272
9218,Female,68,1,39.0,1,1-2 Year,Yes,52297.58,100.0,241
252,Male,33,1,2.0,1,> 2 Years,No,67349.78,130.0,180
15883,Female,30,1,34.0,1,1-2 Year,Yes,51653.47,125.0,273
18086,Female,44,0,27.0,1,> 2 Years,No,24206.65,15.0,298
16187,Female,29,1,52.0,1,< 1 Year,No,78758.15,4.0,287
12785,Male,51,1,1.0,1,> 2 Years,No,29269.12,76.0,15
871,Male,38,1,31.0,1,> 2 Years,No,74307.17,139.0,221
14514,Female,57,1,27.0,1,< 1 Year,No,28745.02,7.0,144
6760,Female,47,1,7.0,1,1-2 Year,Yes,73094.47,34.0,215
19154,Male,61,1,37.0,1,< 1 Year,Yes,61015.27,133.0,131
4168,Female,68,1,3.0,0,> 2 Years,No,73438.47,20.0,188
6582,Female,45,1,28.0,1,1-2 Year,Yes,56806.37,121.0,13
11843,Male,58,1,6.0,1,< 1 Year,Yes,55215.72,56.0,74
7975,Female,24,1,4.0,1,< 1 Year,Yes,44289.79,74.0,33
9036,Male,37,1,6.0,0,> 2 Years,Yes,60214.89,63.0,96
16588,Male,33,1,36.0,1,> 2 Years,Yes,77421.81,74.0,237
17115,Male,22,1,50.0,1,1-2 Year,Yes,77576.8,127.0,214
4607,Male,61,1,27.0,0,1-2 Year,Yes,28425.63,16.0,53
17968,Male,54,1,25.0,1,< 1 Year,Yes,56841.55,154.0,155
13170,Female,31,1,52.0,1,> 2 Years,No,47526.24,33.0,279
18264,Female,58,1,8.0,0,> 2 Years,Yes,66361.9,59.0,233
16011,Female,68,1,11.0,0,> 2 Years,Yes,74131.89,133.0,296
8283,Female,24,1,32.0,1,< 1 Year,Yes,58512.42,54.0,174
14389,Male,22,1,19.0,1,> 2 Years,No,67059.51,163.0,74
3620,Male,26,1,44.0,1,< 1 Year,Yes,53542.38,60.0,48
7433,Male,41,1,8.0,0,> 2 Years,No,69883.89,98.0,164
11260,Female,40,1,10.0,0,1-2 Year,Yes,30202.56,3.0,73
4861,Female,66,1,20.0,1,< 1 Year,No,51884.55,29.0,45
1887,Female,48,1,22.0,0,< 1 Year,Yes,57055.83,106.0,216
9945,Female,46,1,42.0,0,< 1 Year,Yes,36172.8,94.0,46
699,Female,55,1,16.0,1,> 2 Years,Yes,31962.96,127.0,132
16960,Male,63,1,52.0,0,> 2 Years,No,56790.95,83.0,295
772,Male,20,0,23.0,1,1-2 Year,No,34416.98,54.0,75
6744,Male,34,0,31.0,0,> 2 Years,Yes,58210.62,16.0,131
10008,Female,51,1,37.0,0,< 1 Year,No,47000.46,98.0,122
12549,Female,67,1,35.0,0,< 1 Year,No,21495.13,116.0,34
18948,Female,66,1,1.0,0,1-2 Year,Yes,54332.63,103.0,253
13637,Male,44,1,44.0,1,< 1 Year,No,35517.12,87.0,171
10527,Male,23,0,39.0,1,> 2 Years,No,45451.61,151.0,188
15254,Male,30,1,11.0,0,> 2 Years,Yes,39181.54,9.0,49
13981,Female,41,1,40.0,0,1-2 Year,Yes,45390.12,64.0,194
6245,Female,53,1,42.0,0,< 1 Year,Yes,39469.82,88.0,31
6953,Female,27,1,8.0,0,1-2 Year,No,72439.02,102.0,142
19832,Female,24,1,31.0,1,> 2 Years,No,57027.58,111.0,124
13896,Female,37,1,35.0,0,< 1 Year,No,78474.05,137.0,276
10771,Female,62,1,30.0,0,< 1 Year,No,45554.79,8.0,171
84,Female,22,1,24.0,0,> 2 Years,No,62331.65,69.0,267
4397,Female,53,1,49.0,0,< 1 Year,No,34089.98,78.0,114
14853,Male,55,1,30.0,0,> 2 Years,No,22836.34,58.0,240
12372,Female,18,1,2.0,1,> 2 Years,No,65655.71,64.0,69
4871,Female,55,1,20.0,0,< 1 Year,No,66707.87,157.0,134
14905,Male,35,1,6.0,0,< 1 Year,No,27630.92,51.0,225
6785,Male,48,1,7.0,1,< 1 Year,Yes,24389.78,62.0,55
17366,Female,30,1,35.0,0,< 1 Year,No,65629.64,53.0,285
1479,Female,58,1,24.0,1,> 2 Years,No,28218.96,20.0,290
16273,Female,30,1,45.0,0,< 1 Year,No,34319.18,99.0,248
1031,Male,39,1,23.0,1,< 1 Year,Yes,35642.23,158.0,143
15263,Male,26,1,2.0,1,1-2 Year,Yes,64238.15,51.0,206
7829,Female,60,0,44.0,0,< 1 Year,No,26017.8,89.0,228
12211,Male,51,1,42.0,1,< 1 Year,Yes,31451.33,62.0,159
18141,Female,43,0,25.0,0,< 1 Year,No,70436.03,142.0,236
6632,Female,24,1,23.0,1,> 2 Years,Yes,20018.7,128.0,80
2121,Female,40,1,21.0,0,1-2 Year,Yes,58228.53,119.0,56
17170,Male,19,1,31.0,0,1-2 Year,Yes,40692.91,33.0,103
4953,Male,65,1,5.0,0,1-2 Year,Yes,68830.51,70.0,80
9743,Male,61,1,9.0,0,1-2 Year,No,60699.92,138.0,107
15458,Male,50,0,27.0,0,> 2 Years,Yes,38604.05,21.0,82
19132,Female,56,1,33.0,1,> 2 Years,No,71352.18,45.0,40
9739,Female,59,1,17.0,1,1-2 Year,No,42598.15,95.0,75
18378,Male,23,1,42.0,0,1-2 Year,Yes,36490.51,46.0,267
10031,Male,38,0,49.0,1,1-2 Year,Yes,61338.03,11.0,28
8262,Female,24,1,20.0,1,< 1 Year,Yes,35211.79,148.0,204
7222,Female,63,1,24.0,1,> 2 Years,No,29124.18,90.0,246
10991,Male,22,1,18.0,1,1-2 Year,No,44353.03,146.0,214
9656,Female,53,1,18.0,1,1-2 Year,No,62132.12,10.0,6
16508,Female,40,1,40.0,0,> 2 Years,Yes,31093.66,112.0,116
4162,Female,41,1,16.0,0,> 2 Years,Yes,50844.56,88.0,184
3372,Male,69,1,36.0,1,1-2 Year,Yes,30075.24,116.0,256
18220,Female,19,1,11.0,0,< 1 Year,No,64337.9,159.0,266
19276,Female,29,1,21.0,1,1-2 Year,No,23215.16,45.0,275
9720,Female,30,1,46.0,0,< 1 Year,No,51762.78,134.0,195
9895,Female,38,1,28.0,1,1-2 Year,Yes,53674.37,113.0,111
19481,Female,36,1,29.0,0,< 1 Year,No,73870.11,21.0,113
1904,Male,46,1,2.0,1,< 1 Year,No,25340.17,100.0,166
17839,Male,69,1,2.0,1,< 1 Year,Yes,69819.44,26.0,185
7641,Male,53,1,22.0,1,< 1 Year,No,36577.84,52.0,211
15750,Male,60,1,2.0,0,1-2 Year,Yes,28685.61,157.0,130
6671,Male,30,0,4.0,0,1-2 Year,No,36209.88,88.0,290
19834,Female,19,1,25.0,1,> 2 Years,Yes,75647.07,35.0,231
10816,Female,57,1,24.0,1,> 2 Years,Yes,63703.68,137.0,194
6952,Female,23,1,21.0,0,< 1 Year,Yes,27719.57,83.0,170
5599,Female,62,1,37.0,1,< 1 Year,Yes,31347.45,124.0,10
13614,Male,56,1,1.0,1,1-2 Year,No,73236.27,14.0,60
6715,Female,60,1,43.0,0,> 2 Years,No,72891.93,39.0,173
9141,Female,33,1,17.0,0,> 2 Years,No,48402.52,32.0,92
687,Female,53,1,45.0,0,< 1 Year,Yes,51202.63,2.0,44
4795,Male,25,1,27.0,1,1-2 Year,No,76502.91,35.0,228
3461,Female,53,1,12.0,0,< 1 Year,Yes,76249.33,69.0,110
335,Female,69,1,24.0,1,1-2 Year,No,46176.0,19.0,84
6356,Male,51,1,8.0,0,> 2 Years,Yes,52403.49,128.0,24
14280,Female,59,1,52.0,1,> 2 Years,No,64310.2,12.0,236
11840,Male,49,0,13.0,0,< 1 Year,Yes,32853.41,71.0,167
1843,Female,64,0,42.0,0,1-2 Year,Yes,38526.45,111.0,275
8520,Male,27,1,20.0,1,1-2 Year,No,65773.67,102.0,57
11288,Male,28,1,36.0,0,< 1 Year,No,59912.26,154.0,135
19966,Female,55,1,24.0,0,> 2 Years,Yes,59930.51,57.0,162
14715,Male,66,1,31.0,1,< 1 Year,Yes,21013.71,60.0,64
7895,Female,28,1,34.0,1,1-2 Year,No,56181.12,148.0,118
17157,Male,40,1,22.0,0,< 1 Year,Yes,65429.86,134.0,98
8322,Male,43,1,7.0,0,< 1 Year,No,33838.47,10.0,133
216,Male,61,1,18.0,0,> 2 Years,Yes,30554.91,163.0,232
9548,Female,66,1,23.0,0,< 1 Year,No,46050.23,106.0,186
925,Male,62,1,30.0,1,< 1 Year,No,41647.08,69.0,281
1399,Female,28,1,40.0,0,1-2 Year,No,54710.3,133.0,129
11137,Male,61,1,41.0,1,< 1 Year,Yes,24820.88,112.0,98
19453,Female,28,1,7.0,1,< 1 Year,Yes,33509.64,158.0,131
15384,Male,51,1,24.0,0,> 2 Years,No,53850.42,136.0,229
15555,Male,51,1,30.0,0,< 1 Year,No,65968.57,37.0,163
18977,Female,46,1,40.0,0,> 2 Years,No,25225.45,55.0,14
497,Male,49,1,49.0,0,> 2 Years,Yes,72384.57,59.0,111
5381,Male,42,1,14.0,1,1-2 Year,No,67894.01,74.0,16
15157,Female,53,1,24.0,1,1-2 Year,Yes,23778.95,114.0,245
6129,Male,55,1,5.0,1,1-2 Year,Yes,48399.68,39.0,10
9071,Female,18,1,35.0,1,1-2 Year,No,50955.25,24.0,185
12045,Male,45,1,23.0,1,> 2 Years,No,68581.07,26.0,173
10909,Female,28,1,29.0,1,1-2 Year,Yes,73425.57,134.0,280
14979,Female,28,1,41.0,0,> 2 Years,No,53740.69,150.0,164
19157,Female,69,1,19.0,1,> 2 Years,Yes,55680.29,49.0,30
12465,Male,26,1,30.0,0,> 2 Years,No,67706.68,64.0,81
10212,Female,39,1,50.0,1,< 1 Year,No,52072.29,112.0,38
7865,Male,56,1,51.0,0,1-2 Year,No,34992.13,8.0,259
4067,Male,19,1,1.0,0,> 2 Years,Yes,70881.01,16.0,76
6083,Female,48,1,26.0,0,1-2 Year,No,42702.66,58.0,231
548,Female,19,1,31.0,1,> 2 Years,No,76884.77,58.0,58
18154,Female,34,1,12.0,1,> 2 Years,Yes,34346.71,38.0,282
3674,Female,33,0,31.0,0,1-2 Year,Yes,70258.28,134.0,188
11993,Female,52,0,15.0,0,1-2 Year,Yes,54040.09,49.0,228
9833,Female,55,1,8.0,1,> 2 Years,Yes,49138.26,127.0,17
9233,Female,60,0,46.0,1,> 2 Years,No,56849.57,154.0,164
19023,Male,18,1,19.0,0,< 1 Year,Yes,74658.66,48.0,296
15105,Female,40,1,16.0,1,1-2 Year,Yes,27101.24,32.0,62
17760,Female,49,1,39.0,1,1-2 Year,Yes,50059.05,120.0,218
607,Male,53,1,15.0,0,< 1 Year,Yes,69165.47,91.0,108
7521,Female,26,1,22.0,0,> 2 Years,No,29051.48,8.0,148
6249,Male,33,1,36.0,0,< 1 Year,No,43838.39,146.0,2
16490,Male,29,1,9.0,1,< 1 Year,Yes,35995.97,38.0,111
13144,Male,61,1,50.0,1,> 2 Years,Yes,57448.74,59.0,220
7663,Male,63,1,21.0,0,> 2 Years,No,35631.63,95.0,255
7546,Female,46,1,1.0,0,> 2 Years,Yes,22444.96,6.0,224
3029,Male,52,1,40.0,0,< 1 Year,No,31928.21,138.0,123
15965,Male,41,1,31.0,0,> 2 Years,No,35497.25,49.0,148
10775,Female,40,1,47.0,1,> 2 Years,No,23545.8,74.0,108
8940,Female,33,1,40.0,1,1-2 Year,Yes,33108.35,111.0,25
11929,Female,39,1,48.0,1,1-2 Year,Yes,60736.11,57.0,73
2546,Male,31,1,10.0,1,> 2 Years,Yes,48692.05,127.0,162
2360,Male,44,1,47.0,1,1-2 Year,Yes,76773.24,54.0,50
4738,Male,32,1,32.0,0,> 2 Years,Yes,76537.39,82.0,250
19825,Female,57,1,14.0,0,< 1 Year,No,42500.67,56.0,105
4743,Female,22,0,22.0,1,< 1 Year,Yes,64852.61,22.0,107
3642,Male,42,1,2.0,0,1-2 Year,No,27557.23,136.0,278
19821,Female,59,1,47.0,1,1-2 Year,No,23174.66,47.0,295
1918,Female,57,0,1.0,1,1-2 Year,No,52766.52,163.0,15
11919,Male,34,1,24.0,1,> 2 Years,No,46770.91,48.0,57
6828,Male,47,1,13.0,0,< 1 Year,No,55031.67,136.0,200
12376,Female,52,1,44.0,0,> 2 Years,Yes,23111.79,46.0,206
17272,Female,64,1,31.0,1,> 2 Years,Yes,35556.09,11.0,121
11273,Male,39,1,40.0,0,1-2 Year,Yes,69045.69,140.0,196
8104,Female,60,1,27.0,0,1-2 Year,No,53488.06,29.0,35
15475,Male,38,1,51.0,1,1-2 Year,No,64234.94,155.0,43
7542,Female,29,1,48.0,1,1-2 Year,No,55733.37,141.0,19
7228,Female,68,1,2.0,0,> 2 Years,No,25159.41,55.0,167
11248,Female,49,1,23.0,1,> 2 Years,Yes,78396.18,82.0,181
19603,Female,38,1,48.0,0,1-2 Year,Yes,26805.49,156.0,110
1032,Female,29,1,40.0,0,1-2 Year,Yes,38788.47,163.0,169
11226,Female,50,0,2.0,0,> 2 Years,No,26939.09,126.0,59
3765,Male,35,1,39.0,1,> 2 Years,Yes,31542.38,86.0,284
18231,Female,51,1,34.0,0,1-2 Year,No,72407.8,127.0,82
8433,Female,25,1,9.0,0,1-2 Year,Yes,77217.04,98.0,193
13214,Female,30,1,26.0,1,< 1 Year,No,41708.13,54.0,1
11808,Female,33,1,48.0,0,> 2 Years,Yes,68446.8,40.0,98
17796,Male,42,1,45.0,1,< 1 Year,No,21116.68,29.0,278
8928,Female,18,1,16.0,0,> 2 Years,Yes,27758.22,147.0,267
10273,Female,28,1,18.0,1,1-2 Year,Yes,39441.34,160.0,96
19589,Female,20,1,36.0,1,< 1 Year,Yes,70928.44,1.0,299
749,Male,68,1,45.0,0,< 1 Year,No,56229.6,139.0,299
1726,Female,35,1,32.0,1,1-2 Year,No,29577.29,52.0,125
11284,Male,49,0,13.0,1,< 1 Year,No,73070.58,150.0,177
13512,Male,60,1,46.0,0,> 2 Years,Yes,55613.97,79.0,1
17628,Female,48,1,15.0,1,< 1 Year,No,65721.71,16.0,144
8170,Male,20,1,18.0,1,> 2 Years,Yes,65011.71,135.0,263
16458,Male,49,1,46.0,1,1-2 Year,Yes,50853.45,46.0,181
2856,Male,67,1,50.0,1,> 2 Years,No,79062.23,120.0,73
10726,Female,19,1,40.0,1,> 2 Years,No,79797.9,89.0,187
3324,Female,19,1,45.0,0,< 1 Year,Yes,77398.58,158.0,266
66,Female,18,1,33.0,0,< 1 Year,No,72389.63,34.0,38
19383,Female,44,1,51.0,0,> 2 Years,No,49213.65,71.0,176
15470,Male,49,1,19.0,0,> 2 Years,No,49177.66,78.0,151
17248,Female,37,1,5.0,0,1-2 Year,Yes,30202.11,48.0,48
14300,Female,68,1,7.0,1,< 1 Year,No,27755.61,8.0,19
17785,Male,64,1,4.0,1,> 2 Years,No,67276.53,97.0,114
18505,Male,63,1,22.0,0,> 2 Years,No,20925.06,115.0,67
226,Female,30,1,37.0,1,< 1 Year,Yes,49457.3,62.0,123
13387,Female,42,0,21.0,1,< 1 Year,Yes,70625.33,124.0,43
4164,Female,37,1,18.0,1,1-2 Year,Yes,66825.44,66.0,125
12627,Female,50,1,25.0,0,1-2 Year,Yes,31646.6,62.0,13
13449,Male,20,1,18.0,1,< 1 Year,Yes,43630.32,69.0,186
19794,Male,18,0,10.0,0,< 1 Year,No,73220.4,117.0,179
11969,Male,54,0,10.0,0,> 2 Years,No,65945.0,123.0,126
5812,Male,39,1,41.0,1,< 1 Year,Yes,37315.49,123.0,263
2306,Male,54,1,10.0,1,< 1 Year,No,32728.47,22.0,191
1039,Male,22,1,21.0,0,1-2 Year,Yes,35510.29,42.0,57
13817,Male,27,1,0.0,1,< 1 Year,Yes,63435.02,49.0,293
17094,Male,54,1,43.0,0,< 1 Year,No,53994.33,130.0,236
4662,Male,60,0,36.0,0,> 2 Years,Yes,63693.41,147.0,289
6566,Male,51,1,32.0,1,1-2 Year,No,45902.05,36.0,3
8174,Male,18,1,27.0,1,> 2 Years,No,49732.51,62.0,40
5947,Female,51,1,42.0,1,< 1 Year,No,52070.19,46.0,18
13147,Female,27,1,29.0,1,1-2 Year,No,70018.5,100.0,43
14717,Female,59,0,50.0,0,> 2 Years,No,61028.76,125.0,84
14846,Female,68,1,8.0,1,> 2 Years,Yes,58940.94,59.0,101
6640,Female,49,0,21.0,1,< 1 Year,Yes,77169.15,151.0,140
